T_source_in,T_source_out,P_source_bar,flow_source_kg_s,T_sink_in,T_sink_out,P_sink_bar,Energy_kWh,COP,P_comp_W,Q_evap_W,Q_cond_W,P_comp_kW,Q_evap_kW,Q_cond_kW
56.30355760689301,20.0,2.0,2.0,60.0,90.0,2.0,999.4910865776186,1.4361333322407923,695959.8138552478,-303531.27272237086,-999491.0865776186,695.9598138552478,-303.5312727223709,-999.4910865776186
56.27273039777015,20.0,2.0,2.0,60.0,90.0,2.0,997.0549532574414,1.4371308805218397,693781.5941269028,-303273.35913053865,-997054.9532574414,693.7815941269027,-303.27335913053867,-997.0549532574414
56.4096491526937,20.0,2.0,2.0,60.0,90.0,2.0,1003.6512374895572,1.4353615569324571,699232.352045489,-304418.88544406806,-1003651.2374895571,699.232352045489,-304.41888544406805,-1003.6512374895572
56.926243466016444,20.0,2.0,2.0,60.0,90.0,2.0,1009.563471814304,1.440541128700028,700822.3866022857,-308741.08521201846,-1009563.471814304,700.8223866022856,-308.74108521201845,-1009.563471814304
57.631277946212094,20.0,2.0,2.0,60.0,90.0,2.0,1011.2208047623026,1.4516925523509758,696580.5556587436,-314640.2491035588,-1011220.8047623025,696.5805556587436,-314.6402491035588,-1011.2208047623026
58.25616998950221,20.0,2.0,2.0,60.0,90.0,2.0,1010.4648739669892,1.4631786463412166,690595.6948549852,-319869.17911200406,-1010464.8739669892,690.5956948549853,-319.8691791120041,-1010.4648739669892
57.37447521149903,20.0,2.0,2.0,60.0,90.0,2.0,1003.1215498976451,1.452473037396942,690630.066149383,-312491.48374826217,-1003121.5498976451,690.630066149383,-312.49148374826217,-1003.1215498976451
56.56320545624925,20.0,2.0,2.0,60.0,90.0,2.0,1004.6083202858651,1.4374038821954582,698904.6938926094,-305703.62639325566,-1004608.3202858651,698.9046938926094,-305.70362639325566,-1004.6083202858651
56.28582662736352,20.0,2.0,2.0,60.0,90.0,2.0,1006.251543085872,1.4316353313319137,702868.6153964304,-303382.92768944165,-1006251.543085872,702.8686153964304,-303.38292768944166,-1006.251543085872
56.529119800762544,20.0,2.0,2.0,60.0,90.0,2.0,1007.7309765923609,1.4348754016701375,702312.5320981895,-305418.4444941715,-1007730.9765923609,702.3125320981894,-305.41844449417147,-1007.7309765923609
